frame_id,assembly_ms,recv_timestamp,send_timestamp,recovered,retries
0,42.123,1765108960.0995963,1765108955.7195706,0,0
1,39.496,1765108960.140662,1765108955.7534106,0,0
2,41.001,1765108960.1820261,1765108955.7872207,1,0
3,17.425,1765108960.2156553,1765108955.8210483,1,0
4,15.680,1765108960.2470121,1765108955.8548849,1,0
5,8.043,1765108960.270671,1765108955.8886595,1,0
6,24.469,1765108960.3107657,1765108955.9224384,1,0
7,34.275,1765108960.3605819,1765108955.9561799,1,0
8,26.804,1765108960.4031236,1765108955.989922,1,0
9,26.866,1765108960.4456558,1765108956.023734,1,0
10,8.940,1765108960.4708934,1765108956.0574546,1,0
11,17.662,1765108960.5045304,1765108956.091195,1,0
12,4.853,1765108960.525553,1765108956.124792,1,0
13,19.319,1765108960.5609963,1765108956.158459,1,0
14,9.727,1765108960.5884244,1765108956.1922565,1,0
15,5.528,1765108960.6106107,1765108956.2259858,0,0
16,25.374,1765108960.6384583,1765108956.2597435,0,0
17,32.274,1765108960.6709821,1765108956.293449,1,0
18,10.904,1765108960.6960044,1765108956.3271415,1,0
19,9.414,1765108960.7205746,1765108956.360825,1,0
20,44.326,1765108960.7796717,1765108956.3945742,0,0
21,43.211,1765108960.8232033,1765108956.4282577,1,0
22,33.516,1765108960.8720148,1765108956.4620433,1,0
23,26.169,1765108960.9133143,1765108956.4958162,0,0
24,40.968,1765108960.9607594,1765108956.5295541,0,0
25,41.218,1765108961.0032501,1765108956.5633223,0,0
26,33.465,1765108961.0430925,1765108956.5970516,1,0
27,27.012,1765108961.085643,1765108956.6308017,1,0
28,7.390,1765108961.1085012,1765108956.6644824,0,0
29,26.522,1765108961.1370378,1765108956.6981385,1,0
30,24.629,1765108961.177174,1765108956.731808,1,0
31,6.426,1765108961.1984901,1765108956.7654808,1,0
32,18.692,1765108961.2321634,1765108956.79927,0,0
33,28.394,1765108961.2608998,1765108956.833075,0,0
34,23.974,1765108961.2909997,1765108956.8668373,1,0
35,8.183,1765108961.31561,1765108956.9005578,1,0
36,6.459,1765108961.3384354,1765108956.9342847,0,0
37,21.209,1765108961.3657355,1765108956.9680226,0,0
38,25.446,1765108961.3924055,1765108957.001711,0,0
39,22.817,1765108961.4159667,1765108957.035406,0,0
40,23.434,1765108961.439714,1765108957.0692039,0,0
41,32.873,1765108961.4730601,1765108957.1029687,0,0
42,38.012,1765108961.5123718,1765108957.1367407,0,0
43,22.852,1765108961.5355794,1765108957.170516,0,0
44,37.256,1765108961.5731528,1765108957.204182,0,0
45,27.099,1765108961.6006413,1765108957.2379165,1,0
46,12.529,1765108961.6283238,1765108957.27174,0,0
