frame_id,assembly_ms,recv_timestamp,send_timestamp,recovered,retries
0,158.319,1765116783.5345597,1765116778.9911888,0,0
1,139.516,1765116783.6772711,1765116779.138796,0,0
2,162.516,1765116783.841407,1765116779.2902222,0,0
3,166.166,1765116784.0113828,1765116779.4423053,0,0
4,177.114,1765116784.1910193,1765116779.5951965,0,0
5,188.560,1765116784.3818908,1765116779.7494535,0,0
6,181.005,1765116784.5646567,1765116779.9032996,0,0
7,127.953,1765116784.6944387,1765116780.0578706,1,0
9,147.400,1765116784.9710243,1765116780.367249,0,0
10,239.904,1765116785.2194602,1765116780.5215356,0,0
11,231.258,1765116785.4520535,1765116780.677533,0,0
12,172.477,1765116785.630883,1765116780.833362,0,0
20,127.644,1765116786.8234572,1765116782.0674899,1,0
23,127.207,1765116787.214397,1765116782.5312707,0,0
24,132.294,1765116787.3483248,1765116782.6864605,0,0
25,125.851,1765116787.4759772,1765116782.8419833,0,0
26,144.547,1765116787.623302,1765116782.99789,0,0
27,116.749,1765116787.7418547,1765116783.153875,0,0
28,127.486,1765116787.875892,1765116783.3116243,0,0
29,126.610,1765116788.0042677,1765116783.4687712,0,0
30,135.929,1765116788.1433854,1765116783.626125,1,0
32,144.844,1765116788.4384935,1765116783.9055097,0,0
33,164.497,1765116788.6044805,1765116784.051651,0,0
34,206.349,1765116788.8119767,1765116784.1979203,0,0
35,205.373,1765116789.0196238,1765116784.346786,0,0
36,195.642,1765116789.217162,1765116784.4972992,1,0
38,120.046,1765116789.454382,1765116784.7985294,0,0
39,111.356,1765116789.5671077,1765116784.9424634,0,0
40,139.911,1765116789.7094722,1765116785.0885575,1,0
42,124.762,1765116789.9642408,1765116785.3897328,0,0
43,121.339,1765116790.087181,1765116785.5447423,0,0
44,140.353,1765116790.2292843,1765116785.6963427,0,0
45,164.959,1765116790.395958,1765116785.8505583,0,0
46,180.017,1765116790.5785053,1765116786.0041807,0,0
47,126.227,1765116790.7071848,1765116786.1587076,1,0
49,151.859,1765116791.003718,1765116786.4697134,0,0
50,156.513,1765116791.165957,1765116786.6248684,1,0
52,196.361,1765116791.5383642,1765116786.936616,1,0
54,206.736,1765116791.9661546,1765116787.250268,0,0
55,168.945,1765116792.1409495,1765116787.4064252,0,0
56,189.610,1765116792.3333187,1765116787.563811,1,0
63,120.493,1765116793.3418393,1765116788.6426332,0,0
64,134.886,1765116793.4783196,1765116788.792467,1,0
66,155.294,1765116793.76718,1765116789.094824,0,0
67,130.551,1765116793.8994446,1765116789.245029,0,0
68,138.381,1765116794.0392265,1765116789.3973815,0,0
69,125.332,1765116794.1658635,1765116789.5495222,0,0
70,133.628,1765116794.3018646,1765116789.7033334,1,0
72,127.757,1765116794.5571287,1765116790.0116217,0,0
73,143.151,1765116794.7019362,1765116790.1664815,0,0
74,150.970,1765116794.854409,1765116790.320983,1,0
76,144.587,1765116795.1656842,1765116790.6313584,0,0
77,159.521,1765116795.3270507,1765116790.78686,1,0
79,133.519,1765116795.6118813,1765116791.097189,0,0
80,105.429,1765116795.7186453,1765116791.230334,1,0
82,112.374,1765116795.9471455,1765116791.4394572,0,0
83,138.981,1765116796.0907862,1765116791.5681853,1,0
85,150.184,1765116796.3847928,1765116791.8527596,1,0
87,160.039,1765116796.690741,1765116792.151474,0,0
88,179.306,1765116796.8719163,1765116792.3043103,1,0
90,123.368,1765116797.1643453,1765116792.6106436,1,0
92,127.167,1765116797.4142864,1765116792.8886263,0,0
93,152.153,1765116797.5682623,1765116793.035712,1,0
95,151.821,1765116797.8826215,1765116793.3344736,0,0
96,147.741,1765116798.0370445,1765116793.4857671,0,0
97,150.651,1765116798.1894379,1765116793.6378212,0,0
98,132.446,1765116798.3241518,1765116793.7905135,1,0
100,147.066,1765116798.6316688,1765116794.0975018,0,0
101,154.284,1765116798.788272,1765116794.2502775,0,0
102,158.620,1765116798.9542482,1765116794.4043953,0,0
103,139.928,1765116799.0955958,1765116794.5590067,0,0
104,155.403,1765116799.253293,1765116794.713566,1,0
106,150.970,1765116799.5642767,1765116795.0245917,0,0
107,163.275,1765116799.7293675,1765116795.1792948,1,0
109,227.821,1765116800.1695454,1765116795.4922557,0,0
110,136.756,1765116800.3093123,1765116795.6482623,1,0
112,138.637,1765116800.5793474,1765116795.9610481,0,0
113,125.806,1765116800.706936,1765116796.1179042,1,0
115,131.361,1765116800.9670107,1765116796.4321227,1,0
117,157.459,1765116801.2816856,1765116796.7454214,0,0
118,154.536,1765116801.438111,1765116796.9032736,1,0
120,141.034,1765116801.741734,1765116797.2158306,0,0
121,139.122,1765116801.8832583,1765116797.3506627,0,0
122,197.233,1765116802.0817733,1765116797.4926722,1,0
124,123.755,1765116802.3308833,1765116797.782639,0,0
125,125.801,1765116802.4584181,1765116797.93099,1,0
127,152.464,1765116802.7631443,1765116798.2272294,1,0
129,154.025,1765116803.0633054,1765116798.5271802,0,0
130,145.175,1765116803.210998,1765116798.6765811,0,0
131,145.074,1765116803.3592436,1765116798.8268096,1,0
133,156.123,1765116803.6642377,1765116799.1292887,1,0
135,142.732,1765116803.9668846,1765116799.4327376,1,0
137,147.483,1765116804.2707005,1765116799.7369077,1,0
139,152.717,1765116804.5782838,1765116800.043162,0,0
140,177.371,1765116804.7582328,1765116800.1964836,0,0
141,150.898,1765116804.911003,1765116800.3502886,1,0
143,155.143,1765116805.2307663,1765116800.6572907,1,0
145,149.681,1765116805.525627,1765116800.9663134,0,0
146,128.547,1765116805.657067,1765116801.1204405,0,0
147,185.652,1765116805.8442526,1765116801.2759023,0,0
148,174.914,1765116806.020711,1765116801.43108,0,0
149,154.539,1765116806.1794145,1765116801.585213,0,0
150,72.267,1765116806.2542586,1765116801.7374098,0,0
151,109.135,1765116806.3642898,1765116801.8194587,1,0
152,90.374,1765116806.5005577,1765116801.9055374,1,0
153,114.085,1765116806.6640444,1765116801.9893339,0,0
154,145.123,1765116806.8143113,1765116802.0956466,1,0
156,102.336,1765116806.9992816,1765116802.311619,0,0
157,155.983,1765116807.1617093,1765116802.421726,0,0
158,141.283,1765116807.304503,1765116802.5530145,0,0
159,141.120,1765116807.4517598,1765116802.6915321,1,0
163,148.290,1765116807.9791646,1765116803.2750943,1,0
165,134.313,1765116808.2560618,1765116803.5768082,1,0
167,127.491,1765116808.5217361,1765116803.8808231,0,0
168,139.696,1765116808.664076,1765116804.0335712,1,0
170,134.492,1765116808.93908,1765116804.3412085,0,0
171,128.316,1765116809.0690649,1765116804.4943478,1,0
173,133.449,1765116809.3405645,1765116804.8026335,0,0
174,148.993,1765116809.4919753,1765116804.9562974,0,0
175,149.368,1765116809.6430666,1765116805.1099045,0,0
176,167.191,1765116809.8132436,1765116805.2641706,0,0
177,153.799,1765116809.973081,1765116805.4178603,0,0
178,143.022,1765116810.118236,1765116805.571951,1,0
180,131.868,1765116810.3962116,1765116805.8798425,1,0
182,153.163,1765116810.687417,1765116806.1546607,0,0
183,162.458,1765116810.8517687,1765116806.300847,0,0
184,130.219,1765116810.98442,1765116806.449373,1,0
186,151.821,1765116811.2827044,1765116806.7494283,0,0
187,164.514,1765116811.4493222,1765116806.9011497,0,0
188,138.273,1765116811.5892324,1765116807.0527432,1,0
190,141.063,1765116811.8968525,1765116807.358324,1,0
192,157.254,1765116812.2033,1765116807.6663268,1,0
194,130.044,1765116812.5316458,1765116807.9748888,0,0
