frame_id,assembly_ms,recv_timestamp,send_timestamp,recovered,retries
0,12.272,1765108144.3635037,1765108140.009359,1,0
1,22.463,1765108144.4108665,1765108140.0431788,1,0
2,30.079,1765108144.4510243,1765108140.0770485,1,0
3,19.801,1765108144.4771457,1765108140.1108563,0,0
4,16.090,1765108144.4994867,1765108140.144575,0,0
5,18.442,1765108144.5343823,1765108140.1783643,0,0
6,19.940,1765108144.5708835,1765108140.2121933,0,0
7,19.794,1765108144.6057668,1765108140.245905,0,0
8,27.424,1765108144.6508617,1765108140.2797341,0,0
9,18.620,1765108144.6819944,1765108140.3134937,0,0
10,25.981,1765108144.7144315,1765108140.347237,0,0
11,29.997,1765108144.7508569,1765108140.380987,0,0
12,19.956,1765108144.7833884,1765108140.4147491,0,0
13,19.948,1765108144.8184478,1765108140.4484665,0,0
14,30.603,1765108144.851428,1765108140.482215,0,0
15,22.624,1765108144.8820622,1765108140.515847,1,0
16,23.568,1765108144.9195478,1765108140.5495782,0,0
17,28.031,1765108144.9496472,1765108140.5832844,1,0
18,33.534,1765108144.9895985,1765108140.617036,0,0
19,28.713,1765108145.032109,1765108140.6508913,0,0
20,15.842,1765108145.0618908,1765108140.6846588,0,0
21,27.264,1765108145.0894604,1765108140.7183638,0,0
22,30.011,1765108145.1208642,1765108140.752099,0,0
23,26.141,1765108145.1595361,1765108140.785937,0,0
24,30.812,1765108145.1919456,1765108140.8196478,0,0
25,22.693,1765108145.2210894,1765108140.8534975,0,0
26,25.851,1765108145.25959,1765108140.8873029,1,0
27,18.560,1765108145.2920177,1765108140.921053,1,0
28,23.601,1765108145.3220105,1765108140.9549322,1,0
29,32.516,1765108145.36089,1765108140.988867,1,0
30,28.841,1765108145.39598,1765108141.0226114,0,0
31,23.694,1765108145.4220362,1765108141.056336,0,0
32,21.291,1765108145.4621992,1765108141.0900805,1,0
33,30.984,1765108145.4994345,1765108141.1239073,1,0
34,25.026,1765108145.5308611,1765108141.1577773,1,0
35,22.170,1765108145.5595353,1765108141.19143,1,0
36,28.581,1765108145.594442,1765108141.2252436,1,0
37,23.582,1765108145.6294892,1765108141.259049,0,0
38,27.887,1765108145.659467,1765108141.292833,0,0
39,25.956,1765108145.6918197,1765108141.3266,1,0
40,24.932,1765108145.7233584,1765108141.360357,0,0
41,22.443,1765108145.760853,1765108141.3941584,1,0
42,26.285,1765108145.7997396,1765108141.4279406,0,0
43,18.568,1765108145.8319366,1765108141.4616601,0,0
44,23.626,1765108145.8620365,1765108141.4954622,0,0
45,32.410,1765108145.9008298,1765108141.5292485,0,0
46,24.956,1765108145.9270608,1765108141.562994,0,0
47,16.074,1765108145.9620268,1765108141.5968196,0,0
48,24.925,1765108145.9944093,1765108141.6306326,0,0
49,20.020,1765108146.0334477,1765108141.6643436,0,0
50,31.658,1765108146.0684035,1765108141.698149,1,0
51,27.265,1765108146.1020246,1765108141.73197,1,0
52,22.799,1765108146.1322138,1765108141.765737,1,0
53,25.933,1765108146.1645286,1765108141.7994013,0,0
54,30.357,1765108146.2020054,1765108141.8331294,1,0
55,26.051,1765108146.2344067,1765108141.8669207,1,0
56,24.998,1765108146.2708628,1765108141.900742,0,0
57,21.046,1765108146.3044066,1765108141.9344778,1,0
58,20.347,1765108146.3320289,1765108141.9682674,0,0
59,19.960,1765108146.3708591,1765108142.0021217,0,0
60,22.487,1765108146.4083445,1765108142.0358653,0,0
61,30.243,1765108146.4396489,1765108142.0695715,0,0
62,19.985,1765108146.4733658,1765108142.1033,0,0
63,26.178,1765108146.5020008,1765108142.1371555,0,0
64,20.012,1765108146.5408707,1765108142.170972,0,0
65,28.495,1765108146.5718534,1765108142.2047217,0,0
66,31.176,1765108146.6095753,1765108142.2384567,0,0
67,18.561,1765108146.6419559,1765108142.2722044,0,0
68,23.629,1765108146.6720426,1765108142.306033,0,0
69,25.914,1765108146.704259,1765108142.3398492,0,0
70,24.996,1765108146.7483964,1765108142.3735769,0,0
71,23.905,1765108146.773371,1765108142.4074101,0,0
72,25.958,1765108146.8119287,1765108142.4412093,1,0
73,26.031,1765108146.8494768,1765108142.4748714,0,0
74,13.745,1765108146.874616,1765108142.508601,1,0
75,31.009,1765108146.9119654,1765108142.5423586,1,0
76,23.585,1765108146.942037,1765108142.5761886,1,0
77,32.507,1765108146.980904,1765108142.609962,1,0
78,26.100,1765108147.019559,1765108142.643721,1,0
79,23.501,1765108147.0494893,1765108142.6775188,0,0
80,12.376,1765108147.075795,1765108142.7112303,0,0
81,11.125,1765108147.10452,1765108142.7450385,1,0
82,26.139,1765108147.1495485,1765108142.7788024,1,0
83,17.468,1765108147.1808405,1765108142.8126123,0,0
84,23.614,1765108147.2120192,1765108142.846396,0,0
85,26.084,1765108147.2444682,1765108142.8800988,1,0
86,22.453,1765108147.2808244,1765108142.9139338,0,0
87,27.434,1765108147.3208208,1765108142.9477696,0,0
88,18.578,1765108147.3519518,1765108142.9815223,0,0
89,23.641,1765108147.3820336,1765108143.01533,0,0
90,26.031,1765108147.4144168,1765108143.0491657,1,0
91,24.939,1765108147.4508207,1765108143.0828211,0,0
92,26.165,1765108147.4895937,1765108143.1166532,0,0
93,30.365,1765108147.521936,1765108143.1504693,0,0
94,22.464,1765108147.5508146,1765108143.1842113,0,0
95,26.064,1765108147.5844815,1765108143.2180483,1,0
96,25.908,1765108147.6218908,1765108143.2518506,1,0
97,26.278,1765108147.659631,1765108143.2855887,1,0
98,25.975,1765108147.6920357,1765108143.3194082,1,0
99,23.459,1765108147.7218344,1765108143.3531992,1,0
100,26.230,1765108147.7596045,1765108143.3870049,1,0
101,18.607,1765108147.7919571,1765108143.4207966,0,0
102,22.439,1765108147.8208058,1765108143.4545257,0,0
103,27.409,1765108147.8608446,1765108143.4882789,0,0
104,18.673,1765108147.892051,1765108143.522017,0,0
105,36.188,1765108147.93457,1765108143.5557802,0,0
106,15.129,1765108147.9648905,1765108143.5894418,0,0
107,13.574,1765108147.9945462,1765108143.6231842,0,0
108,27.507,1765108148.0283537,1765108143.6569417,0,0
109,21.013,1765108148.0518708,1765108143.6907897,0,0
110,16.140,1765108148.0795307,1765108143.724588,1,0
111,15.268,1765108148.1137183,1765108143.758326,1,0
112,25.970,1765108148.1618295,1765108143.7921748,1,0
113,22.482,1765108148.1908567,1765108143.8259895,1,0
114,31.192,1765108148.2295759,1765108143.8597598,0,0
115,18.654,1765108148.2545657,1765108143.8934815,1,0
116,28.524,1765108148.2994285,1765108143.9272404,0,0
117,13.617,1765108148.3244913,1765108143.9609542,0,0
118,21.225,1765108148.3646083,1765108143.9946978,0,0
119,13.530,1765108148.3919077,1765108144.0284848,0,0
120,19.968,1765108148.4308739,1765108144.0623403,0,0
121,19.910,1765108148.4693534,1765108144.096043,0,0
122,31.153,1765108148.500802,1765108144.1298964,0,0
123,11.381,1765108148.5297806,1765108144.163725,0,0
124,28.404,1765108148.5644066,1765108144.1974142,0,0
125,33.813,1765108148.599614,1765108144.231223,0,0
126,16.350,1765108148.6246748,1765108144.265015,0,0
127,23.628,1765108148.6620872,1765108144.2988029,0,0
128,17.429,1765108148.698321,1765108144.3325572,0,0
129,22.915,1765108148.7337735,1765108144.3663073,0,0
130,20.605,1765108148.7619603,1765108144.4001288,0,0
131,22.374,1765108148.8033023,1765108144.433886,0,0
132,24.944,1765108148.840836,1765108144.4675372,1,0
133,24.804,1765108148.871927,1765108144.5012803,0,0
134,23.672,1765108148.9019954,1765108144.5350337,0,0
135,26.074,1765108148.9344728,1765108144.5687878,0,0
136,38.622,1765108148.979496,1765108144.6025317,0,0
137,26.048,1765108149.0058963,1765108144.636333,0,0
138,23.579,1765108149.0395236,1765108144.6701055,1,0
139,18.316,1765108149.0691636,1765108144.703853,1,0
140,23.593,1765108149.1044602,1765108144.7375925,1,0
