frame_id,assembly_ms,recv_timestamp,send_timestamp,recovered,retries
0,228.995,1765132204.301575,1765132198.5063224,0,0
1,164.574,1765132204.4691467,1765132198.6678317,0,0
2,142.234,1765132204.613412,1765132198.8296955,0,0
3,177.100,1765132204.7938464,1765132198.992526,0,0
4,164.263,1765132204.9611115,1765132199.1562712,0,0
5,154.914,1765132205.1179783,1765132199.3207724,0,0
6,146.798,1765132205.2681506,1765132199.4865885,0,0
7,154.615,1765132205.424651,1765132199.6519523,0,0
8,137.806,1765132205.564733,1765132199.8169646,0,0
9,154.581,1765132205.7208889,1765132199.9820623,0,0
10,169.078,1765132205.891591,1765132200.15991,0,0
11,190.232,1765132206.0837033,1765132200.3296313,0,0
12,233.824,1765132206.3191168,1765132200.4961014,0,0
13,210.411,1765132206.5312204,1765132200.663606,0,0
14,145.599,1765132206.6784225,1765132200.8313687,0,0
15,155.760,1765132206.836859,1765132200.9979615,0,0
16,163.382,1765132207.0018246,1765132201.162891,0,0
18,156.895,1765132207.3087013,1765132201.4938302,0,0
19,223.608,1765132207.535228,1765132201.658668,0,0
20,160.512,1765132207.6973145,1765132201.8235447,0,0
21,174.442,1765132207.8733158,1765132201.9902194,0,0
22,174.397,1765132208.0493042,1765132202.1565495,0,0
23,182.057,1765132208.2332797,1765132202.3236995,0,0
24,141.798,1765132208.3775666,1765132202.4915524,0,0
25,147.087,1765132208.526195,1765132202.6582363,0,0
26,142.455,1765132208.671275,1765132202.823486,0,0
27,151.045,1765132208.8239284,1765132202.9900239,0,0
28,136.927,1765132208.9623988,1765132203.1573865,0,0
29,131.825,1765132209.0958195,1765132203.323711,0,0
30,150.496,1765132209.2494154,1765132203.4901125,0,0
31,145.529,1765132209.3966155,1765132203.636186,0,0
32,162.683,1765132209.560788,1765132203.7887857,0,0
33,142.518,1765132209.7047753,1765132203.9434316,0,0
34,144.692,1765132209.8520534,1765132204.100165,0,0
35,142.253,1765132209.9958837,1765132204.2570164,0,0
36,158.348,1765132210.155818,1765132204.413791,0,0
37,148.683,1765132210.3060167,1765132204.5712256,0,0
38,147.239,1765132210.4560523,1765132204.7304063,0,0
39,153.453,1765132210.611058,1765132204.8894906,0,0
40,160.602,1765132210.7731879,1765132205.048049,0,0
41,162.372,1765132210.9382682,1765132205.20758,0,0
42,150.815,1765132211.0906498,1765132205.367992,0,0
43,259.365,1765132211.35156,1765132205.5284102,0,0
44,183.534,1765132211.537423,1765132205.6881864,0,0
45,167.719,1765132211.7077956,1765132205.8491895,0,0
46,164.375,1765132211.8737428,1765132206.0108202,0,0
47,149.870,1765132212.0250916,1765132206.1710503,0,0
48,163.173,1765132212.189748,1765132206.331963,0,0
49,196.041,1765132212.3887954,1765132206.493295,0,0
50,222.705,1765132212.6140125,1765132206.6541216,0,0
53,141.643,1765132212.9989202,1765132207.1377444,0,0
54,152.980,1765132213.153901,1765132207.3002071,0,0
55,145.215,1765132213.300766,1765132207.461946,0,0
56,157.138,1765132213.4595492,1765132207.624712,0,0
57,169.576,1765132213.6307926,1765132207.7867475,0,0
58,134.490,1765132213.7668521,1765132207.949649,0,0
59,142.737,1765132213.9121256,1765132208.1124897,0,0
60,108.711,1765132214.0233386,1765132208.276201,0,0
61,122.940,1765132214.1477013,1765132208.4068692,0,0
62,81.928,1765132214.2308156,1765132208.513866,0,0
63,96.229,1765132214.3280795,1765132208.614349,0,0
64,113.220,1765132214.4439073,1765132208.7299438,0,0
65,133.352,1765132214.578871,1765132208.8620007,0,0
66,134.077,1765132214.7143776,1765132209.0055406,0,0
67,153.880,1765132214.869714,1765132209.155082,0,0
68,149.102,1765132215.02137,1765132209.3066638,0,0
69,157.852,1765132215.1806512,1765132209.4608142,0,0
70,156.796,1765132215.3389246,1765132209.6172943,0,0
71,165.614,1765132215.5060902,1765132209.7755523,0,0
72,163.950,1765132215.6731248,1765132209.9363146,0,0
73,158.554,1765132215.8332124,1765132210.0971513,0,0
74,155.557,1765132215.9903858,1765132210.2583635,0,0
75,157.704,1765132216.1508014,1765132210.4204373,0,0
76,167.034,1765132216.3193562,1765132210.5830648,0,0
77,154.278,1765132216.4756563,1765132210.746389,0,0
78,163.846,1765132216.641369,1765132210.91151,0,0
79,157.299,1765132216.8015137,1765132211.075784,0,0
80,181.514,1765132216.9845753,1765132211.2401705,0,0
81,152.193,1765132217.1383219,1765132211.4060774,0,0
82,152.680,1765132217.2934496,1765132211.569768,0,0
83,171.161,1765132217.466128,1765132211.732681,0,0
84,199.836,1765132217.668389,1765132211.8952308,0,0
85,168.791,1765132217.838742,1765132212.0565152,0,0
86,157.766,1765132217.9981298,1765132212.219565,0,0
87,141.552,1765132218.1420643,1765132212.3823268,0,0
88,159.168,1765132218.3027623,1765132212.5454304,0,0
89,142.509,1765132218.4468112,1765132212.7087636,0,0
90,159.127,1765132218.6089163,1765132212.8719416,0,0
91,160.743,1765132218.7710574,1765132213.0182705,0,0
93,148.651,1765132219.0419796,1765132213.324841,0,0
94,168.952,1765132219.2128491,1765132213.47989,0,0
95,143.023,1765132219.357324,1765132213.635947,0,0
96,170.490,1765132219.5292778,1765132213.7925944,0,0
97,160.018,1765132219.6907675,1765132213.9494648,0,0
98,137.491,1765132219.8312535,1765132214.1077497,0,0
99,152.227,1765132219.9852293,1765132214.2657077,0,0
100,158.076,1765132220.1447604,1765132214.424271,0,0
101,156.352,1765132220.30355,1765132214.5819905,0,0
102,157.033,1765132220.4626427,1765132214.7403884,0,0
103,206.506,1765132220.6706192,1765132214.8997285,0,0
