frame_id,assembly_ms,recv_timestamp,send_timestamp,recovered,retries
0,8.299,1765115802.3821561,1765115797.9742422,0,0
1,13.510,1765115802.419611,1765115798.0096195,1,0
2,15.893,1765115802.4595563,1765115798.0451088,1,0
3,10.901,1765115802.4945016,1765115798.0809133,1,0
4,19.976,1765115802.533568,1765115798.1163452,1,0
5,18.800,1765115802.5673552,1765115798.15195,1,0
6,12.418,1765115802.5959995,1765115798.1874902,1,0
7,25.568,1765115802.6446702,1765115798.2230208,1,0
8,20.158,1765115802.6736102,1765115798.2587807,1,0
9,15.652,1765115802.7117703,1765115798.2943501,1,0
10,20.252,1765115802.7421865,1765115798.3299177,1,0
11,28.541,1765115802.7921288,1765115798.3655856,1,0
12,29.433,1765115802.828594,1765115798.4011223,1,0
13,37.990,1765115802.8735716,1765115798.4368038,0,0
14,35.916,1765115802.9096732,1765115798.4724927,0,0
15,20.004,1765115802.9310176,1765115798.5080235,0,0
16,25.950,1765115802.9695983,1765115798.5435407,0,0
17,33.716,1765115803.0097406,1765115798.5779939,1,0
18,22.763,1765115803.039637,1765115798.6136363,1,0
19,24.451,1765115803.0722332,1765115798.648189,1,0
20,25.224,1765115803.1046567,1765115798.6828368,1,0
21,30.394,1765115803.1421752,1765115798.717478,0,0
22,18.701,1765115803.1672602,1765115798.752058,0,0
23,11.169,1765115803.194735,1765115798.786549,0,0
24,13.876,1765115803.2274394,1765115798.8210704,1,0
25,19.255,1765115803.2734997,1765115798.8553965,1,0
26,25.794,1765115803.3118398,1765115798.8898594,0,0
27,37.757,1765115803.3497677,1765115798.924185,1,0
28,16.376,1765115803.377419,1765115798.9587953,1,0
29,25.956,1765115803.412015,1765115798.9930182,1,0
30,25.974,1765115803.4520643,1765115799.0277247,0,0
31,23.498,1765115803.4820836,1765115799.0621455,1,0
32,28.724,1765115803.5222588,1765115799.0966063,1,0
33,22.931,1765115803.5521483,1765115799.1308694,1,0
34,33.112,1765115803.5921519,1765115799.1655068,0,0
